cleaned_data,,,,,,,,,,,,,
Response ID,Job Experience,Time Spent Remote,Company encouraged remote work,WFH collaboration ease,WFH personal recommendation,WFH time preference,In person - commute time ,In person - time working,In person - family time,Remote - commute time,WFH - working,WFH - family time,WFH - domestic work time
452,Between 1 and 5 years,20,1,3,4,30,1.5,10,4,0.5,10,5,2
453,More than 5 years,50,4,4,4,50,2,9,2,0.5,10,2,2
456,Between 6 and 12 months,40,3,3,4,80,0.2,7,2,1,8,5,1
459,Between 1 and 5 years,20,4,4,4,80,3,9,4,0,10,6,2
460,More than 5 years,50,2,5,4,50,4,7.5,4,0.5,8,6,3
463,More than 5 years,50,2,2,3,20,1,8,3,1,9,2,2
464,Between 6 and 12 months,5,4,4,4,5,0.5,9,2,0,10,1,1
465,More than 5 years,100,5,5,5,100,0,6,2,0,6,2,1
466,Between 1 and 5 years,20,5,4,4,40,1,8.5,5,0,10,5,1
467,More than 5 years,5,4,2,5,80,1.5,7.5,4,0.5,8,8,4
468,More than 5 years,5,2,4,3,20,1.5,9,0.5,0.5,11,1,4
469,More than 5 years,5,2,2,2,100,0.5,9,13.5,0,9,14,1
470,Between 1 and 5 years,50,5,4,5,40,1.5,8,3,0.5,8,4,1
472,Between 1 and 5 years,100,3,2,2,40,1,1,2,1,6,2,7
473,More than 5 years,30,5,5,4,60,1,11,3,0,11,3.5,1
475,Between 1 and 5 years,30,2,4,4,50,1,8,1,0,8,3,1
476,More than 5 years,30,2,5,4,50,3,9,3,0.5,8,5,3
477,More than 5 years,20,4,4,4,50,1,7,4,1,8,3,4
478,More than 5 years,10,1,4,5,70,3,7,3,0.5,8,4.5,4
481,More than 5 years,20,4,5,3,20,3,8,4,3,8,9,4
482,More than 5 years,5,2,4,4,80,2,9,3,0.5,9,4,0.5
484,Between 1 and 5 years,100,5,4,5,100,2,8,4,0,8,6,2
485,Between 1 and 5 years,5,4,4,5,60,2.5,8,2,0,9,3,1
487,More than 5 years,20,2,3,2,70,1,7,4,0,7,5,4
490,More than 5 years,20,3,4,5,50,2,8,2,0.5,9.5,2,1
492,Between 1 and 5 years,5,4,4,4,70,2,7,7,1,7,9,7
493,Between 1 and 5 years,50,4,3,3,70,2,8,1,0,10,2,1
497,More than 5 years,100,3,5,4,100,1,6,5,0,6,5,3
498,More than 5 years,30,4,5,5,100,1,8,8,0.2,9,8,2
499,Between 1 and 5 years,30,5,4,4,50,1.5,7.5,4,0.5,7.5,6,1
501,More than 5 years,30,3,1,1,50,2,6,4,2,3,6,4
502,More than 5 years,20,3,3,3,20,1,8,4,0,5,5,5
503,More than 5 years,5,2,2,3,5,2,8,2,2,6,4,2
